timestamp,detection_time,server_timestamp,protocol,detection_method,ssid,device_name,mac_address,manufacturer,alias,rssi,last_rssi,signal_strength,channel,last_channel,detection_count,latitude,longitude,altitude,gps_timestamp,satellites,fix_quality,gps_time_diff,gps_match_quality,timestamp_source
2026-01-06T10:16:13.962750,2026-01-06 10:16:13,2026-01-06T10:16:13.962750,bluetooth_le,unknown,,,e2:f2:cc:ff:85:a8,Unknown Manufacturer,,-90,-90,WEAK,,,16,,,,,,,,,system
2026-01-06T10:16:17.375186,2026-01-06 10:16:17,2026-01-06T10:16:17.375186,wifi,beacon_unknown,ZKB Gast-WLAN,,cc1,Unknown Manufacturer,,-74,,WEAK,1,,1,,,,,,,,,system
2026-01-06T10:16:24.279709,2026-01-06 10:16:24,2026-01-06T10:16:24.279709,wifi,probe_request_unknown,,,a2:a4:4e:04:17:8e,Unknown Manufacturer,,-81,,WEAK,12,,1,,,,,,,,,system
2026-01-06T10:16:32.009912,2026-01-06 10:16:32,2026-01-06T10:16:32.009912,bluetooth_le,unknown,,,f3:6c:48:ef:33:48,Unknown Manufacturer,,-95,,WEAK,,,1,,,,,,,,,system
2026-01-06T10:16:35.675363,2026-01-06 10:16:35,2026-01-06T10:16:35.675363,wifi,probe_request_unknown,,,d2:51:4e:c2:81:0e,Unknown Manufacturer,,-87,-88,WEAK,4,5,2,,,,,,,,,system
2026-01-06T10:16:35.993380,2026-01-06 10:16:35,2026-01-06T10:16:35.993380,wifi,probe_request_unknown,,,9a:8b:a1:1b:97:e5,Unknown Manufacturer,,-88,,WEAK,5,,1,,,,,,,,,system
2026-01-06T10:16:36.105891,2026-01-06 10:16:36,2026-01-06T10:16:36.105891,wifi,probe_request_unknown,,,06:d0:29:14:86:d1,Unknown Manufacturer,,-86,-85,WEAK,5,5,2,,,,,,,,,system
2026-01-06T10:16:39.849393,2026-01-06 10:16:39,2026-01-06T10:16:39.849393,wifi,probe_request_unknown,MA-WLAN,,5a:29:04:4e:67:3b,Unknown Manufacturer,,-92,-84,WEAK,11,11,3,,,,,,,,,system
2026-01-06T10:16:45.745082,2026-01-06 10:16:45,2026-01-06T10:16:45.745082,wifi,probe_request_unknown,Mobile-WLAN,,,Unknown,,-83,,WEAK,7,,1,,,,,,,,,system
2026-01-06T10:16:50.172165,2026-01-06 10:16:50,2026-01-06T10:16:50.172165,wifi,probe_request_unknown,,,9e:0d:d3:33:93:dc,Unknown Manufacturer,,-92,,WEAK,1,,1,,,,,,,,,system
